Timestamp;4 Byte float RTT Data
54400;0.671796
54500;0.672248
54600;0.672402
54700;0.672258
54800;0.672706
54900;0.672557
55000;0.672704
55100;0.673148
55200;0.672994
55300;0.673136
55400;0.673276
55500;0.673414
55600;0.673551
55700;0.673687
55800;0.673820
55900;0.673952
56000;0.674382
56100;0.674510
56200;0.674637
56300;0.674762
56400;0.674886
56500;0.674706
56600;0.675127
56700;0.674944
56800;0.675060
56900;0.675175
57000;0.675287
57100;0.675398
57200;0.675508
57300;0.675918
57400;0.676024
57500;0.675825
57600;0.675928
57700;0.676028
57800;0.676127
57900;0.676224
58000;0.676624
58100;0.676414
58200;0.676810
58300;0.676596
58400;0.676684
58500;0.676771
58600;0.676856
58700;0.676939
58800;0.677021
58900;0.677406
59000;0.677179
59100;0.677255
59200;0.677329
59300;0.677402
59400;0.677473
59500;0.677542
59600;0.677610
59700;0.677675
59800;0.678046
59900;0.678108
60000;0.678169
60100;0.678228
60200;0.678285
60300;0.678033
60400;0.678394
60500;0.678138
60600;0.678188
60700;0.678236
60800;0.678590
60900;0.678327
61000;0.678678
61100;0.678411
61200;0.678451
61300;0.678489
61400;0.678524
61500;0.678558
61600;0.678591
61700;0.678621
61800;0.678650
61900;0.678677
62000;0.679011
62100;0.678726
62200;0.678748
62300;0.678768
62400;0.678786
62500;0.679111
62600;0.679125
62700;0.679138
62800;0.678841
62900;0.678851
63000;0.678858
63100;0.678864
63200;0.678868
63300;0.679179
63400;0.679180
63500;0.678870
63600;0.678867
63700;0.678862
63800;0.678856
63900;0.678847
64000;0.678838
64100;0.679134
64200;0.678812
64300;0.678797
64400;0.678780
64500;0.679069
64600;0.678740
64700;0.678718
64800;0.678694
64900;0.678976
65000;0.678640
65100;0.678611
65200;0.678580
65300;0.678855
65400;0.678820
65500;0.678475
65600;0.678437
65700;0.678397
65800;0.678663
65900;0.678312
66000;0.678267
66100;0.678220
66200;0.678171
66300;0.678120
66400;0.678375
66500;0.678321
66600;0.678265
66700;0.678207
66800;0.677841
66900;0.677780
67000;0.677717
67100;0.677959
67200;0.677892
67300;0.677518
67400;0.677754
67500;0.677683
67600;0.677303
67700;0.677534
67800;0.677151
67900;0.677073
68000;0.676992
68100;0.677215
68200;0.677131
68300;0.677046
68400;0.676654
68500;0.676564
68600;0.676474
68700;0.676381
68800;0.676287
68900;0.676191
69000;0.676396
69100;0.675993
69200;0.675892
69300;0.675789
69400;0.675987
69500;0.675881
69600;0.675772
69700;0.675360
69800;0.675248
69900;0.675135
70000;0.675020
70100;0.674903
70200;0.674784
70300;0.674664
70400;0.674542
70500;0.674418
70600;0.674593
70700;0.674165
70800;0.674337
70900;0.674206
71000;0.673774
71100;0.673639
71200;0.673504
71300;0.673366
71400;0.673227
71500;0.673086
71600;0.672943
71700;0.673097
71800;0.672951
71900;0.672803
72000;0.672356
72100;0.672205
72200;0.672052
72300;0.672194
72400;0.672037
72500;0.671879
72600;0.671424
72700;0.671262
72800;0.671099
72900;0.670935
73000;0.670768
73100;0.670894
73200;0.670430
73300;0.670259
73400;0.670086
73500;0.669911
73600;0.670027
73700;0.669849
73800;0.669669
73900;0.669195
74000;0.669012
74100;0.669118
74200;0.668641
74300;0.668453
74400;0.668553
74500;0.668361
74600;0.667878
74700;0.667683
74800;0.667487
74900;0.667577
75000;0.667089
75100;0.667175
75200;0.666972
75300;0.666480
75400;0.666274
75500;0.666066
75600;0.665856
75700;0.665645
75800;0.665432
75900;0.665217
76000;0.665001
76100;0.664783
76200;0.664564
76300;0.664343
76400;0.664403
76500;0.663896
76600;0.663952
76700;1.000000
76800;0.663213
76900;0.662983
77000;0.662750
77100;0.662516
77200;0.662281
77300;0.662044
77400;0.662084
77500;0.661565
77600;0.661323
77700;0.661079
77800;0.660834
77900;0.660587
78000;0.660339
78100;0.659838
78200;-1.#QNAN0
78300;-1.#QNAN0
78400;-1.#QNAN0
78500;-1.#QNAN0
78600;-1.#QNAN0
78700;-1.#QNAN0
78800;-1.#QNAN0
78900;-1.#QNAN0
79000;-1.#QNAN0
79100;-1.#QNAN0
79200;-1.#QNAN0
79300;-1.#QNAN0
79400;0.656157
79500;0.656422
79600;0.655878
79700;0.655602
79800;0.700176
79900;0.700212
80000;0.700592
80100;0.700279
80200;0.699965
80300;0.744683
80400;0.744877
80500;0.656432
80600;0.656704
80700;0.656974
80800;0.657243
80900;0.657510
81000;0.657775
81100;0.658039
81200;0.697307
81300;0.697334
81400;0.697021
81500;0.697384
81600;0.697406
81700;0.697426
81800;0.697444
81900;0.697460
82000;0.697474
82100;0.660870
82200;0.669349
82300;0.669126
82400;0.661085
82500;0.661328
82600;0.661570
82700;0.661810
82800;0.662328
82900;0.662566
83000;0.662522
83100;0.663036
83200;0.663269
83300;0.663218
83400;0.663729
83500;0.663957
83600;0.663901
